1001328,0,0.50
1001384,1,-0.50
1001440,2,1.00
1001496,3,-0.50
1001548,4,-0.50
1001608,5,-0.50
1001664,6,-1.00
1001720,7,2.00
1001776,8,-1.00
1001828,9,0.50
1041892,0,1.00
1041956,1,-1.00
1042012,2,2.00
1042076,3,-1.00
1042148,4,-1.00
1042216,5,-1.00
1042280,6,-2.00
1042344,7,4.00
1042412,8,-2.00
1042472,9,1.00
1082540,0,1.50
1082608,1,-1.50
1082676,2,3.00
1082740,3,-1.50
1082800,4,-1.50
1082864,5,-1.50
1082920,6,-3.00
1082984,7,6.00
1083052,8,-3.00
1083112,9,1.50
1123180,0,2.00
1123248,1,-2.00
1123316,2,4.00
1123380,3,-2.00
1123436,4,-2.00
1123500,5,-2.00
1123560,6,-4.00
1123632,7,8.00
1123696,8,-4.00
1123752,9,2.00
1163820,0,2.50
1163884,1,-2.50
1163948,2,5.00
1164016,3,-2.50
1164080,4,-2.50
1164144,5,-2.50
1164212,6,-5.00
1164276,7,10.00
1164344,8,-5.00
1164404,9,2.50
1204472,0,3.00
1204540,1,-3.00
1204596,2,6.00
1204660,3,-3.00
1204716,4,-3.00
1204780,5,-3.00
1204844,6,-6.00
1204908,7,12.00
1204976,8,-6.00
1205032,9,3.00
1245096,0,3.50
1245160,1,-3.50
1245224,2,7.00
1245288,3,-3.50
1245352,4,-3.50
1245424,5,-3.50
1245480,6,-7.00
1245544,7,14.00
1245608,8,-7.00
1245664,9,3.50
1285736,0,4.00
1285800,1,-4.00
1285856,2,8.00
1285920,3,-4.00
1285980,4,-4.00
1286044,5,-4.00
1286108,6,-8.00
1286176,7,16.00
1286240,8,-8.00
1286300,9,4.00
1326368,0,4.50
1326436,1,-4.50
1326504,2,9.00
1326568,3,-4.50
1326640,4,-4.50
1326704,5,-4.50
1326760,6,-9.00
1326824,7,18.00
1326888,8,-9.00
1326948,9,4.50
1367020,0,5.00
1367088,1,-5.00
1367156,2,10.00
1367216,3,-5.00
1367280,4,-5.00
1367336,5,-5.00
1367404,6,-10.00
1367472,7,20.00
1367540,8,-10.00
1367600,9,5.00
1407668,0,5.50
1407732,1,-5.50
1407796,2,11.00
1407860,3,-5.50
1407924,4,-5.50
1407992,5,-5.50
1408060,6,-11.00
1408120,7,22.00
1408184,8,-11.00
1408240,9,5.50
1448308,0,6.00
1448372,1,-6.00
1448436,2,12.00
1448492,3,-6.00
1448556,4,-6.00
1448612,5,-6.00
1448676,6,-12.00
1448744,7,24.00
1448812,8,-12.00
1448868,9,6.00
1488940,0,6.50
1489004,1,-6.50
1489068,2,13.00
1489132,3,-6.50
1489200,4,-6.50
1489264,5,-6.50
1489328,6,-13.00
1489396,7,26.00
1489464,8,-13.00
1489524,9,6.50
1529592,0,7.00
1529656,1,-7.00
1529720,2,14.00
1529776,3,-7.00
1529840,4,-7.00
1529900,5,-7.00
1529972,6,-14.00
1530036,7,28.00
1530104,8,-14.00
1530164,9,7.00
1570232,0,7.50
1570296,1,-7.50
1570368,2,15.00
1570432,3,-7.50
1570496,4,-7.50
1570564,5,-7.50
1570620,6,-15.00
1570692,7,30.00
1570756,8,-15.00
1570812,9,7.50
1610884,0,8.00
1610952,1,-8.00
1611016,2,16.00
1611084,3,-8.00
1611152,4,-8.00
1611216,5,-8.00
1611284,6,-16.00
1611348,7,32.00
1611412,8,-16.00
1611468,9,8.00
1651532,0,8.50
1651596,1,-8.50
1651660,2,17.00
1651724,3,-8.50
1651788,4,-8.50
1651852,5,-8.50
1651920,6,-17.00
